s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,margin,label,gold_db,qwen_top1,ce_predicted,qwen_correct
0.95,0.3,0.25,0.2,0.2,0.15,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,music_1,music_1,music_1,1
0.85,0.85,0.8,0.75,0.7,0.7,0.65,0.6,0.6,0.6,0.1,0.1,0.0,0.0,0.0,0.0,1,e_learning,student_loan,student_transcripts_tracking,0
0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.1,1,e_learning,student_transcripts_tracking,student_transcripts_tracking,0
0.95,0.7,0.15,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.25,0,music_1,music_1,music_1,1
0.85,0.85,0.8,0.8,0.75,0.7,0.65,0.65,0.65,0.65,0.6,0.1,0.0,0.0,0.0,0.0,1,e_learning,student_loan,student_transcripts_tracking,0
0.95,0.3,0.2,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.65,0,e_learning,e_learning,e_learning,1
0.95,0.9,0.85,0.75,0.25,0.15,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05,1,music_1,music_1,music_1,1
0.85,0.8,0.8,0.75,0.7,0.7,0.7,0.6,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.05,1,e_learning,student_loan,student_transcripts_tracking,0
0.95,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.75,0,music_1,music_1,music_1,1
0.95,0.85,0.75,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.1,1,music_1,music_1,music_1,1
0.95,0.7,0.6,0.5,0.4,0.3,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0,e_learning,student_1,e_learning,0
0.95,0.75,0.1,0.1,0.05,0.05,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,music_1,music_1,music_1,1
0.85,0.75,0.6,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1,election,election,election,1
0.95,0.7,0.7,0.7,0.7,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,e_learning,student_1,e_learning,0
0.95,0.7,0.2,0.2,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.25,0,music_1,music_1,music_1,1
0.85,0.6,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0,music_1,music_1,music_1,1
0.85,0.75,0.65,0.5,0.4,0.3,0.2,0.15,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.1,1,election,election,election,1
0.95,0.7,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0,music_1,music_1,music_1,1
0.95,0.05,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,e_learning,e_learning,e_learning,1
0.85,0.75,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.95,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,music_2,music_2,music_2,1
0.95,0.2,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,election,election,election,1
0.85,0.75,0.65,0.4,0.3,0.2,0.15,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.1,1,election,election,election,1
0.85,0.65,0.3,0.2,0.15,0.1,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.2,1,election,election,election,1
0.95,0.2,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.75,0,election,election,election,1
0.95,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0,music_2,music_2,music_2,1
